     90/99     9.02G    0.0318   0.03295   0.01421   0.07896        75      1024    0.3934    0.2954     0.244    0.1035   0.05303   0.05072     0.029
     91/99     9.02G   0.03111   0.03367   0.01388   0.07866        40      1024    0.3869    0.3077    0.2417     0.104   0.05319   0.05131     0.029
     92/99     9.02G   0.03143   0.03425   0.01378   0.07947        65      1024    0.3932    0.2961    0.2384     0.102   0.05349   0.05073   0.02909
     93/99     9.02G   0.03111   0.03384    0.0136   0.07856        51      1024    0.3942    0.3053    0.2403    0.1015   0.05333   0.05082   0.02926
     94/99     9.02G   0.03116   0.03187   0.01351   0.07654        21      1024    0.3864    0.2965    0.2412    0.1041    0.0532   0.05131   0.02908
     95/99     9.02G   0.03091   0.03295   0.01378   0.07765        85      1024    0.4011     0.293    0.2396    0.1032   0.05344   0.05187   0.02898
     96/99     9.02G   0.03079   0.03242   0.01329   0.07649        79      1024     0.389    0.3106    0.2395    0.1028   0.05365   0.05134   0.02931
     97/99     9.02G   0.03088   0.03298   0.01403   0.07789        53      1024     0.405     0.291    0.2407    0.1031   0.05346   0.05125    0.0294
     98/99     9.02G   0.03057   0.03325   0.01309   0.07691        25      1024    0.3922    0.3104    0.2407    0.1025   0.05392   0.05095   0.02976
     99/99     9.02G   0.03091   0.03197    0.0135   0.07638        55      1024    0.3858    0.2995    0.2381     0.102   0.05361   0.05163   0.02953
